farm_id,farm_name,location_area,district,state,pincode,farm_type,cattle_count,buffalo_count,total_animals,main_breed,estimated_daily_milk_litres,products,distribution,monthly_milk_output_litres,estimated_monthly_revenue_inr,farm_size_acres,employees,status,description
DFP1001,Shree Ganesh Dairy Farm,Tathawade,Pune,Maharashtra,411021,Small Dairy Farm,26,0,26,Gir & Sahiwal,268.8,Milk & buttermilk,Hotels & restaurants,8064.0,112000,4.93,1,Active,"Synthetic local dairy operation supplying milk and dairy products around Tathawade, Pune."
DFP1002,Sai Krupa Dairy Farm,Wakad,Pune,Maharashtra,411027,Medium Dairy Farm,23,6,29,Gir & Sahiwal,230.7,Milk & buttermilk,Hotels & restaurants,6921.0,197000,2.15,5,Active,"Synthetic local dairy operation supplying milk and dairy products around Wakad, Pune."
DFP1003,Mahalaxmi Dairy Farm,Hinjewadi,Pune,Maharashtra,411048,Family Dairy Farm,32,22,54,HF Cross,427.3,Fresh cow milk,Local dairy collection center,12819.0,114000,3.19,6,Active,"Synthetic local dairy operation supplying milk and dairy products around Hinjewadi, Pune."
DFP1004,Krishna Dairy Farm,Ravet,Pune,Maharashtra,411015,Small Dairy Farm,17,23,40,HF Cross & Jersey,290.7,A2 cow milk,Hotels & restaurants,8721.0,182000,4.83,2,Active,"Synthetic local dairy operation supplying milk and dairy products around Ravet, Pune."
DFP1005,Samarth Dairy Farm,Punawale,Pune,Maharashtra,411048,Small Dairy Farm,41,24,65,Sahiwal,479.1,A2 cow milk,Local dairy collection center,14373.0,252000,6.76,3,Active,"Synthetic local dairy operation supplying milk and dairy products around Punawale, Pune."
DFP1006,Shivneri Dairy Farm,Kiwale,Pune,Maharashtra,412207,Small Dairy Farm,57,6,63,HF Cross & Jersey,618.6,Milk & buttermilk,Retail shops,18558.0,226000,5.97,3,Seasonal,"Synthetic local dairy operation supplying milk and dairy products around Kiwale, Pune."
DFP1007,Gokul Dairy Farm,Thergaon,Pune,Maharashtra,411027,Medium Dairy Farm,60,8,68,Gir & Sahiwal,749.1,A2 cow milk,Local households,22473.0,148000,6.66,6,Seasonal,"Synthetic local dairy operation supplying milk and dairy products around Thergaon, Pune."
DFP1008,Shri Vitthal Dairy Farm,Pimpri,Pune,Maharashtra,411017,Family Dairy Farm,46,2,48,Jersey Cross,383.3,Milk & buttermilk,Local dairy collection center,11499.0,191000,7.14,8,Active,"Synthetic local dairy operation supplying milk and dairy products around Pimpri, Pune."
DFP1009,Mauli Dairy Farm,Chinchwad,Pune,Maharashtra,411041,A2 Dairy Farm,45,4,49,HF Cross & Jersey,394.8,"Milk, curd & ghee",Direct home delivery,11844.0,146000,7.98,3,Seasonal,"Synthetic local dairy operation supplying milk and dairy products around Chinchwad, Pune."
DFP1010,Sahyadri Dairy Farm,Bhosari,Pune,Maharashtra,412207,Medium Dairy Farm,23,24,47,Gir & Sahiwal,307.1,"Milk, curd & ghee",Hotels & restaurants,9213.0,106000,3.39,8,Active,"Synthetic local dairy operation supplying milk and dairy products around Bhosari, Pune."
